container_id,container_no,shipping_line_id,yard_area_id,container_size,container_type,full_empty,gate_in_ts,gate_out_ts,hist,error_reason
24,MSKU0000024,12,1,20,DRY,FULL,2025-10-18 03:31:00,2025-10-19 03:31:00,Y,Rule 07: full_empty phải là F hoặc E
25,ONEU0000025,1,4,40,DRY,FULL,2025-12-15 14:20:00,2025-12-18 14:20:00,Y,Rule 07: full_empty phải là F hoặc E
26,COSU0000026,2,4,40,DRY,FULL,2025-10-14 04:01:00,2025-10-28 04:01:00,Y,Rule 07: full_empty phải là F hoặc E
27,EMCU0000027,3,8,40,DRY,EMPTY,2025-12-18 11:06:00,2026-01-26 11:06:00,Y,Rule 07: full_empty phải là F hoặc E
28,YMLU0000028,4,5,20,DRY,FULL,2025-11-27 16:19:00,2025-12-28 16:19:00,Y,Rule 07: full_empty phải là F hoặc E
29,OOLU0000029,5,7,20,OPEN_TOP,FULL,2025-10-21 07:45:00,2025-11-18 07:45:00,Y,Rule 07: full_empty phải là F hoặc E
30,PILU0000030,6,8,40,DRY,EMPTY,2025-10-16 13:17:00,2025-11-29 13:17:00,Y,Rule 07: full_empty phải là F hoặc E
31,MAYU0000031,7,3,40,FLAT_RACK,FULL,2026-01-11 19:34:00,2026-01-15 19:34:00,Y,Rule 07: full_empty phải là F hoặc E
32,HLBU0000032,8,6,40,DRY,FULL,2025-11-01 13:23:00,2025-12-08 13:23:00,Y,Rule 07: full_empty phải là F hoặc E
33,CMAU0000033,9,3,40,REEFER,FULL,2025-11-02 09:24:00,2025-12-02 09:24:00,Y,Rule 07: full_empty phải là F hoặc E
34,MSKU0000034,10,7,40,DRY,FULL,2025-10-16 07:05:00,2025-11-30 07:05:00,Y,Rule 07: full_empty phải là F hoặc E
35,ONEU0000035,11,5,40,DRY,FULL,2025-08-17 02:50:00,2025-08-25 02:50:00,Y,Rule 07: full_empty phải là F hoặc E
36,COSU0000036,12,3,20,DRY,FULL,2026-01-16 07:40:00,2026-02-25 07:40:00,Y,Rule 07: full_empty phải là F hoặc E
37,EMCU0000037,1,8,40,DRY,FULL,2025-10-13 02:27:00,2025-11-20 02:27:00,Y,Rule 07: full_empty phải là F hoặc E
38,YMLU0000038,2,4,40,FLAT_RACK,FULL,2025-12-21 12:14:00,2025-12-24 12:14:00,Y,Rule 07: full_empty phải là F hoặc E
39,OOLU0000039,3,1,40,OPEN_TOP,FULL,2026-01-23 07:02:00,2026-02-02 07:02:00,Y,Rule 07: full_empty phải là F hoặc E
40,PILU0000040,4,6,40,OPEN_TOP,FULL,2025-11-21 09:15:00,2025-12-08 09:15:00,Y,Rule 07: full_empty phải là F hoặc E
41,MAYU0000041,5,7,40,DRY,EMPTY,2025-08-14 18:20:00,2025-08-21 18:20:00,Y,Rule 07: full_empty phải là F hoặc E
42,HLBU0000042,6,4,20,DRY,FULL,2025-11-24 10:09:00,2025-12-25 10:09:00,Y,Rule 07: full_empty phải là F hoặc E
43,CMAU0000043,7,2,40,DRY,FULL,2025-09-13 04:10:00,2025-10-25 04:10:00,Y,Rule 07: full_empty phải là F hoặc E
44,MSKU0000044,8,7,40,DRY,EMPTY,2025-08-14 00:34:00,2025-09-12 00:34:00,Y,Rule 07: full_empty phải là F hoặc E
45,ONEU0000045,9,4,40,TANK,FULL,2025-12-21 08:58:00,2026-01-22 08:58:00,Y,Rule 07: full_empty phải là F hoặc E
46,COSU0000046,10,2,20,DRY,FULL,2025-11-25 06:41:00,2025-12-14 06:41:00,Y,Rule 07: full_empty phải là F hoặc E
47,EMCU0000047,11,2,20,DRY,FULL,2025-10-01 06:29:00,2025-11-07 06:29:00,Y,Rule 07: full_empty phải là F hoặc E
48,YMLU0000048,12,6,40,DRY,EMPTY,2025-09-14 00:48:00,2025-10-18 00:48:00,Y,Rule 07: full_empty phải là F hoặc E
49,OOLU0000049,1,5,20,FLAT_RACK,FULL,2026-01-06 03:17:00,2026-02-12 03:17:00,Y,Rule 07: full_empty phải là F hoặc E
50,PILU0000050,2,2,40,OPEN_TOP,FULL,2025-08-17 02:40:00,2025-09-05 02:40:00,Y,Rule 07: full_empty phải là F hoặc E
51,MAYU0000051,3,6,40,DRY,FULL,2025-12-09 02:18:00,2026-01-09 02:18:00,Y,Rule 07: full_empty phải là F hoặc E
52,HLBU0000052,4,3,20,DRY,FULL,2025-12-19 06:30:00,2026-01-17 06:30:00,Y,Rule 07: full_empty phải là F hoặc E
53,CMAU0000053,5,8,20,DRY,FULL,2025-09-13 11:57:00,2025-10-02 11:57:00,Y,Rule 07: full_empty phải là F hoặc E
54,MSKU0000054,6,2,20,REEFER,FULL,2025-10-19 03:46:00,2025-11-23 03:46:00,Y,Rule 07: full_empty phải là F hoặc E
55,ONEU0000055,7,7,40,TANK,FULL,2025-12-03 19:40:00,2025-12-14 19:40:00,Y,Rule 07: full_empty phải là F hoặc E
56,COSU0000056,8,5,40,DRY,EMPTY,2025-10-23 02:17:00,2025-10-28 02:17:00,Y,Rule 07: full_empty phải là F hoặc E
57,EMCU0000057,9,7,20,DRY,EMPTY,2025-08-29 15:30:00,2025-09-22 15:30:00,Y,Rule 07: full_empty phải là F hoặc E
58,YMLU0000058,10,5,40,DRY,EMPTY,2025-11-02 06:38:00,2025-11-20 06:38:00,Y,Rule 07: full_empty phải là F hoặc E
59,OOLU0000059,11,2,40,DRY,FULL,2025-11-13 08:27:00,2025-12-25 08:27:00,Y,Rule 07: full_empty phải là F hoặc E
60,PILU0000060,12,2,40,OPEN_TOP,FULL,2025-09-14 19:57:00,2025-10-28 19:57:00,Y,Rule 07: full_empty phải là F hoặc E
61,MAYU0000061,1,2,40,DRY,EMPTY,2025-11-25 07:30:00,2025-12-26 07:30:00,Y,Rule 07: full_empty phải là F hoặc E
62,HLBU0000062,2,4,40,DRY,FULL,2025-12-05 11:54:00,2025-12-12 11:54:00,Y,Rule 07: full_empty phải là F hoặc E
63,CMAU0000063,3,7,20,DRY,EMPTY,2025-11-25 17:08:00,2025-12-08 17:08:00,Y,Rule 07: full_empty phải là F hoặc E
64,MSKU0000064,4,4,40,DRY,FULL,2025-12-10 06:31:00,2026-01-21 06:31:00,Y,Rule 07: full_empty phải là F hoặc E
65,ONEU0000065,5,6,40,REEFER,FULL,2025-11-16 16:58:00,2025-12-17 16:58:00,Y,Rule 07: full_empty phải là F hoặc E
66,COSU0000066,6,3,40,REEFER,FULL,2025-09-28 02:17:00,2025-10-04 02:17:00,Y,Rule 07: full_empty phải là F hoặc E
67,EMCU0000067,7,8,20,REEFER,FULL,2025-11-23 12:32:00,2026-01-03 12:32:00,Y,Rule 07: full_empty phải là F hoặc E
68,YMLU0000068,8,2,40,OPEN_TOP,FULL,2025-10-04 17:42:00,2025-10-29 17:42:00,Y,Rule 07: full_empty phải là F hoặc E
69,OOLU0000069,9,7,20,TANK,FULL,2025-09-26 10:19:00,2025-10-10 10:19:00,Y,Rule 07: full_empty phải là F hoặc E
70,PILU0000070,10,3,40,DRY,FULL,2026-01-12 14:02:00,2026-02-15 14:02:00,Y,Rule 07: full_empty phải là F hoặc E
71,MAYU0000071,11,5,40,DRY,FULL,2026-01-16 06:41:00,2026-02-05 06:41:00,Y,Rule 07: full_empty phải là F hoặc E
72,HLBU0000072,12,4,40,DRY,FULL,2025-10-11 11:21:00,2025-11-10 11:21:00,Y,Rule 07: full_empty phải là F hoặc E
73,CMAU0000073,1,4,20,DRY,FULL,2025-12-25 09:11:00,2026-01-27 09:11:00,Y,Rule 07: full_empty phải là F hoặc E
74,MSKU0000074,2,3,40,DRY,FULL,2025-08-14 12:19:00,2025-09-12 12:19:00,Y,Rule 07: full_empty phải là F hoặc E
75,ONEU0000075,3,2,40,DRY,FULL,2025-10-25 00:07:00,2025-11-25 00:07:00,Y,Rule 07: full_empty phải là F hoặc E
76,COSU0000076,4,4,40,REEFER,EMPTY,2025-12-14 05:10:00,2026-01-01 05:10:00,Y,Rule 07: full_empty phải là F hoặc E
77,EMCU0000077,5,1,40,REEFER,EMPTY,2025-09-30 08:34:00,2025-11-12 08:34:00,Y,Rule 07: full_empty phải là F hoặc E
78,YMLU0000078,6,1,40,DRY,FULL,2025-11-05 04:38:00,2025-11-15 04:38:00,Y,Rule 07: full_empty phải là F hoặc E
79,OOLU0000079,7,6,40,FLAT_RACK,EMPTY,2026-01-25 11:53:00,2026-01-28 11:53:00,Y,Rule 07: full_empty phải là F hoặc E
80,PILU0000080,8,7,40,OPEN_TOP,FULL,2025-09-21 01:33:00,2025-10-22 01:33:00,Y,Rule 07: full_empty phải là F hoặc E
81,MAYU0000081,9,8,40,FLAT_RACK,FULL,2025-12-11 10:36:00,2026-01-25 10:36:00,Y,Rule 07: full_empty phải là F hoặc E
82,HLBU0000082,10,6,40,DRY,FULL,2025-12-02 03:20:00,2026-01-01 03:20:00,Y,Rule 07: full_empty phải là F hoặc E
83,CMAU0000083,11,4,20,REEFER,FULL,2025-08-17 00:55:00,2025-09-06 00:55:00,Y,Rule 07: full_empty phải là F hoặc E
84,MSKU0000084,12,6,40,DRY,FULL,2025-09-27 07:14:00,2025-11-08 07:14:00,Y,Rule 07: full_empty phải là F hoặc E
85,ONEU0000085,1,1,20,REEFER,FULL,2026-01-16 19:24:00,2026-02-04 19:24:00,Y,Rule 07: full_empty phải là F hoặc E
86,COSU0000086,2,8,40,DRY,EMPTY,2025-12-08 19:47:00,2025-12-15 19:47:00,Y,Rule 07: full_empty phải là F hoặc E
87,EMCU0000087,3,8,20,REEFER,FULL,2025-08-31 19:09:00,2025-10-03 19:09:00,Y,Rule 07: full_empty phải là F hoặc E
88,YMLU0000088,4,7,40,OPEN_TOP,EMPTY,2025-08-17 11:44:00,2025-09-13 11:44:00,Y,Rule 07: full_empty phải là F hoặc E
89,OOLU0000089,5,7,20,REEFER,FULL,2025-08-28 18:54:00,2025-09-29 18:54:00,Y,Rule 07: full_empty phải là F hoặc E
90,PILU0000090,6,5,40,TANK,FULL,2025-12-08 13:37:00,2026-01-09 13:37:00,Y,Rule 07: full_empty phải là F hoặc E
91,MAYU0000091,7,3,40,DRY,FULL,2025-11-28 10:40:00,2026-01-12 10:40:00,Y,Rule 07: full_empty phải là F hoặc E
92,HLBU0000092,8,8,40,DRY,FULL,2025-12-09 06:15:00,2026-01-18 06:15:00,Y,Rule 07: full_empty phải là F hoặc E
93,CMAU0000093,9,7,20,DRY,FULL,2025-09-28 07:01:00,2025-10-17 07:01:00,Y,Rule 07: full_empty phải là F hoặc E
94,MSKU0000094,10,2,20,DRY,FULL,2025-10-15 08:32:00,2025-11-18 08:32:00,Y,Rule 07: full_empty phải là F hoặc E
95,ONEU0000095,11,7,40,DRY,EMPTY,2025-10-17 03:46:00,2025-10-20 03:46:00,Y,Rule 07: full_empty phải là F hoặc E
96,COSU0000096,12,4,40,DRY,EMPTY,2025-11-28 01:21:00,2025-12-16 01:21:00,Y,Rule 07: full_empty phải là F hoặc E
97,EMCU0000097,1,8,20,DRY,FULL,2025-08-22 17:56:00,2025-08-26 17:56:00,Y,Rule 07: full_empty phải là F hoặc E
98,YMLU0000098,2,6,40,REEFER,FULL,2025-11-20 07:06:00,2025-11-28 07:06:00,Y,Rule 07: full_empty phải là F hoặc E
99,OOLU0000099,3,7,20,DRY,FULL,2026-01-03 07:40:00,2026-02-10 07:40:00,Y,Rule 07: full_empty phải là F hoặc E
100,PILU0000100,4,4,40,DRY,EMPTY,2025-12-05 02:56:00,2026-01-04 02:56:00,Y,Rule 07: full_empty phải là F hoặc E
101,MAYU0000101,5,1,40,DRY,FULL,2025-09-25 17:28:00,2025-11-08 17:28:00,Y,Rule 07: full_empty phải là F hoặc E
102,HLBU0000102,6,2,20,DRY,EMPTY,2025-09-13 10:31:00,2025-10-10 10:31:00,Y,Rule 07: full_empty phải là F hoặc E
103,CMAU0000103,7,6,40,DRY,FULL,2025-11-25 11:25:00,2025-12-27 11:25:00,Y,Rule 07: full_empty phải là F hoặc E
104,MSKU0000104,8,2,40,DRY,FULL,2026-01-18 05:50:00,2026-01-26 05:50:00,Y,Rule 07: full_empty phải là F hoặc E
105,ONEU0000105,9,1,20,DRY,FULL,2025-10-23 09:11:00,2025-11-21 09:11:00,Y,Rule 07: full_empty phải là F hoặc E
106,COSU0000106,10,1,20,DRY,FULL,2026-01-13 12:16:00,2026-02-24 12:16:00,Y,Rule 07: full_empty phải là F hoặc E
107,EMCU0000107,11,7,20,DRY,FULL,2025-09-27 08:51:00,2025-10-24 08:51:00,Y,Rule 07: full_empty phải là F hoặc E
108,YMLU0000108,12,1,20,DRY,FULL,2025-12-30 14:59:00,2026-01-24 14:59:00,Y,Rule 07: full_empty phải là F hoặc E
109,OOLU0000109,1,2,40,OPEN_TOP,FULL,2026-01-17 14:30:00,2026-01-25 14:30:00,Y,Rule 07: full_empty phải là F hoặc E
110,PILU0000110,2,6,20,REEFER,FULL,2025-08-23 04:33:00,2025-10-03 04:33:00,Y,Rule 07: full_empty phải là F hoặc E
111,MAYU0000111,3,6,20,REEFER,FULL,2026-01-02 01:38:00,2026-01-07 01:38:00,Y,Rule 07: full_empty phải là F hoặc E
112,HLBU0000112,4,7,40,DRY,FULL,2025-09-16 13:07:00,2025-10-11 13:07:00,Y,Rule 07: full_empty phải là F hoặc E
113,CMAU0000113,5,1,40,DRY,FULL,2025-11-26 19:54:00,2025-11-29 19:54:00,Y,Rule 07: full_empty phải là F hoặc E
114,MSKU0000114,6,1,20,REEFER,FULL,2025-12-18 08:16:00,2026-01-31 08:16:00,Y,Rule 07: full_empty phải là F hoặc E
115,ONEU0000115,7,3,40,DRY,FULL,2025-12-16 00:49:00,2025-12-27 00:49:00,Y,Rule 07: full_empty phải là F hoặc E
116,COSU0000116,8,1,40,DRY,FULL,2025-11-09 11:05:00,2025-12-07 11:05:00,Y,Rule 07: full_empty phải là F hoặc E
117,EMCU0000117,9,3,40,DRY,EMPTY,2025-10-25 18:32:00,2025-11-18 18:32:00,Y,Rule 07: full_empty phải là F hoặc E
118,YMLU0000118,10,1,20,REEFER,FULL,2026-01-12 18:16:00,2026-01-29 18:16:00,Y,Rule 07: full_empty phải là F hoặc E
119,OOLU0000119,11,3,20,OPEN_TOP,FULL,2026-01-22 05:23:00,2026-03-08 05:23:00,Y,Rule 07: full_empty phải là F hoặc E
120,PILU0000120,12,3,40,FLAT_RACK,FULL,2025-12-15 14:17:00,2025-12-22 14:17:00,Y,Rule 07: full_empty phải là F hoặc E
121,MAYU0000121,1,4,40,OPEN_TOP,FULL,2025-09-20 06:53:00,2025-09-28 06:53:00,Y,Rule 07: full_empty phải là F hoặc E
122,HLBU0000122,2,5,40,DRY,FULL,2025-09-07 08:12:00,2025-10-11 08:12:00,Y,Rule 07: full_empty phải là F hoặc E
123,CMAU0000123,3,3,40,REEFER,FULL,2025-09-18 00:09:00,2025-10-10 00:09:00,Y,Rule 07: full_empty phải là F hoặc E
124,MSKU0000124,4,7,40,DRY,FULL,2025-11-08 10:12:00,2025-11-26 10:12:00,Y,Rule 07: full_empty phải là F hoặc E
125,ONEU0000125,5,5,20,DRY,FULL,2025-12-02 14:01:00,2026-01-10 14:01:00,Y,Rule 07: full_empty phải là F hoặc E
126,COSU0000126,6,3,20,DRY,FULL,2025-08-28 04:08:00,2025-09-17 04:08:00,Y,Rule 07: full_empty phải là F hoặc E
127,EMCU0000127,7,5,20,OPEN_TOP,FULL,2025-12-14 18:15:00,2026-01-28 18:15:00,Y,Rule 07: full_empty phải là F hoặc E
128,YMLU0000128,8,6,40,DRY,EMPTY,2025-09-16 06:56:00,2025-10-22 06:56:00,Y,Rule 07: full_empty phải là F hoặc E
129,OOLU0000129,9,4,40,DRY,FULL,2025-10-25 00:37:00,2025-11-30 00:37:00,Y,Rule 07: full_empty phải là F hoặc E
130,PILU0000130,10,6,20,REEFER,FULL,2025-09-22 00:00:00,2025-10-07 00:00:00,Y,Rule 07: full_empty phải là F hoặc E
131,MAYU0000131,11,2,40,DRY,FULL,2025-09-07 11:55:00,2025-10-07 11:55:00,Y,Rule 07: full_empty phải là F hoặc E
132,HLBU0000132,12,4,20,DRY,FULL,2025-11-19 05:55:00,2025-12-17 05:55:00,Y,Rule 07: full_empty phải là F hoặc E
133,CMAU0000133,1,6,40,REEFER,EMPTY,2025-12-01 12:01:00,2025-12-12 12:01:00,Y,Rule 07: full_empty phải là F hoặc E
134,MSKU0000134,2,5,40,DRY,FULL,2025-12-18 07:06:00,2025-12-29 07:06:00,Y,Rule 07: full_empty phải là F hoặc E
135,ONEU0000135,3,1,20,DRY,FULL,2025-08-16 15:34:00,2025-08-27 15:34:00,Y,Rule 07: full_empty phải là F hoặc E
136,COSU0000136,4,8,20,DRY,EMPTY,2025-12-27 02:23:00,2026-02-05 02:23:00,Y,Rule 07: full_empty phải là F hoặc E
137,EMCU0000137,5,2,20,DRY,EMPTY,2026-01-26 07:27:00,2026-02-17 07:27:00,Y,Rule 07: full_empty phải là F hoặc E
138,YMLU0000138,6,2,40,DRY,FULL,2025-10-12 07:58:00,2025-11-06 07:58:00,Y,Rule 07: full_empty phải là F hoặc E
139,OOLU0000139,7,8,40,REEFER,FULL,2026-01-19 02:17:00,2026-02-27 02:17:00,Y,Rule 07: full_empty phải là F hoặc E
140,PILU0000140,8,6,40,DRY,EMPTY,2026-01-20 10:28:00,2026-01-27 10:28:00,Y,Rule 07: full_empty phải là F hoặc E
141,MAYU0000141,9,5,40,REEFER,EMPTY,2026-01-07 08:22:00,2026-01-13 08:22:00,Y,Rule 07: full_empty phải là F hoặc E
142,HLBU0000142,10,4,20,DRY,FULL,2026-01-09 02:53:00,2026-02-11 02:53:00,Y,Rule 07: full_empty phải là F hoặc E
143,CMAU0000143,11,5,20,REEFER,FULL,2026-01-20 09:31:00,2026-03-03 09:31:00,Y,Rule 07: full_empty phải là F hoặc E
144,MSKU0000144,12,6,20,REEFER,EMPTY,2025-12-19 02:47:00,2026-01-19 02:47:00,Y,Rule 07: full_empty phải là F hoặc E
145,ONEU0000145,1,2,40,DRY,EMPTY,2025-11-04 03:09:00,2025-11-10 03:09:00,Y,Rule 07: full_empty phải là F hoặc E
146,COSU0000146,2,5,20,DRY,FULL,2025-12-24 17:44:00,2025-12-31 17:44:00,Y,Rule 07: full_empty phải là F hoặc E
147,EMCU0000147,3,8,20,DRY,EMPTY,2026-01-26 17:27:00,2026-02-02 17:27:00,Y,Rule 07: full_empty phải là F hoặc E
148,YMLU0000148,4,8,20,REEFER,EMPTY,2025-08-27 00:17:00,2025-08-31 00:17:00,Y,Rule 07: full_empty phải là F hoặc E
149,OOLU0000149,5,2,40,REEFER,FULL,2025-11-15 05:36:00,2025-11-24 05:36:00,Y,Rule 07: full_empty phải là F hoặc E
150,PILU0000150,6,2,40,DRY,FULL,2025-12-31 00:13:00,2026-01-28 00:13:00,Y,Rule 07: full_empty phải là F hoặc E
151,MAYU0000151,7,6,40,DRY,FULL,2025-10-31 14:54:00,2025-11-12 14:54:00,Y,Rule 07: full_empty phải là F hoặc E
152,HLBU0000152,8,3,20,REEFER,FULL,2025-12-29 13:58:00,2026-01-23 13:58:00,Y,Rule 07: full_empty phải là F hoặc E
153,CMAU0000153,9,8,40,DRY,FULL,2025-11-26 10:22:00,2025-11-27 10:22:00,Y,Rule 07: full_empty phải là F hoặc E
154,MSKU0000154,10,1,40,DRY,FULL,2025-11-29 07:50:00,2025-12-11 07:50:00,Y,Rule 07: full_empty phải là F hoặc E
155,ONEU0000155,11,6,40,DRY,FULL,2026-01-02 10:41:00,2026-02-04 10:41:00,Y,Rule 07: full_empty phải là F hoặc E
156,COSU0000156,12,5,40,OPEN_TOP,FULL,2025-11-04 03:53:00,2025-12-17 03:53:00,Y,Rule 07: full_empty phải là F hoặc E
157,EMCU0000157,1,5,40,FLAT_RACK,FULL,2026-01-16 09:14:00,2026-02-13 09:14:00,Y,Rule 07: full_empty phải là F hoặc E
158,YMLU0000158,2,4,20,REEFER,EMPTY,2025-12-14 07:36:00,2025-12-22 07:36:00,Y,Rule 07: full_empty phải là F hoặc E
159,OOLU0000159,3,7,40,DRY,FULL,2025-08-16 08:35:00,2025-09-14 08:35:00,Y,Rule 07: full_empty phải là F hoặc E
160,PILU0000160,4,1,40,DRY,FULL,2026-01-22 11:36:00,2026-03-05 11:36:00,Y,Rule 07: full_empty phải là F hoặc E
161,MAYU0000161,5,3,40,REEFER,FULL,2025-11-15 04:58:00,2025-12-23 04:58:00,Y,Rule 07: full_empty phải là F hoặc E
162,HLBU0000162,6,1,20,DRY,FULL,2025-11-06 02:37:00,2025-11-07 02:37:00,Y,Rule 07: full_empty phải là F hoặc E
163,CMAU0000163,7,5,40,REEFER,FULL,2025-12-30 16:20:00,2026-02-04 16:20:00,Y,Rule 07: full_empty phải là F hoặc E
164,MSKU0000164,8,6,20,DRY,FULL,2025-11-19 08:02:00,2025-12-17 08:02:00,Y,Rule 07: full_empty phải là F hoặc E
165,ONEU0000165,9,3,40,DRY,FULL,2026-01-06 16:11:00,2026-02-03 16:11:00,Y,Rule 07: full_empty phải là F hoặc E
166,COSU0000166,10,8,40,DRY,FULL,2025-11-01 12:58:00,2025-11-07 12:58:00,Y,Rule 07: full_empty phải là F hoặc E
167,EMCU0000167,11,6,40,DRY,FULL,2025-12-04 00:58:00,2026-01-14 00:58:00,Y,Rule 07: full_empty phải là F hoặc E
168,YMLU0000168,12,8,40,DRY,EMPTY,2025-08-24 10:05:00,2025-09-11 10:05:00,Y,Rule 07: full_empty phải là F hoặc E
169,OOLU0000169,1,4,40,DRY,FULL,2025-12-11 03:44:00,2026-01-20 03:44:00,Y,Rule 07: full_empty phải là F hoặc E
170,PILU0000170,2,7,20,DRY,EMPTY,2025-10-01 19:34:00,2025-10-03 19:34:00,Y,Rule 07: full_empty phải là F hoặc E
171,MAYU0000171,3,1,20,DRY,FULL,2025-08-23 05:58:00,2025-09-04 05:58:00,Y,Rule 07: full_empty phải là F hoặc E
172,HLBU0000172,4,2,40,DRY,FULL,2026-01-05 15:03:00,2026-01-25 15:03:00,Y,Rule 07: full_empty phải là F hoặc E
173,CMAU0000173,5,6,20,DRY,FULL,2025-09-18 03:27:00,2025-10-12 03:27:00,Y,Rule 07: full_empty phải là F hoặc E
174,MSKU0000174,6,6,20,REEFER,FULL,2025-12-19 18:36:00,2026-01-12 18:36:00,Y,Rule 07: full_empty phải là F hoặc E
175,ONEU0000175,7,6,20,DRY,FULL,2025-09-01 13:00:00,2025-09-20 13:00:00,Y,Rule 07: full_empty phải là F hoặc E
176,COSU0000176,8,2,40,REEFER,EMPTY,2025-09-11 13:34:00,2025-10-12 13:34:00,Y,Rule 07: full_empty phải là F hoặc E
177,EMCU0000177,9,6,40,OPEN_TOP,FULL,2025-08-18 19:14:00,2025-09-20 19:14:00,Y,Rule 07: full_empty phải là F hoặc E
178,YMLU0000178,10,3,40,REEFER,FULL,2025-09-18 18:49:00,2025-10-23 18:49:00,Y,Rule 07: full_empty phải là F hoặc E
179,OOLU0000179,11,7,40,OPEN_TOP,FULL,2025-08-15 09:50:00,2025-08-16 09:50:00,Y,Rule 07: full_empty phải là F hoặc E
180,PILU0000180,12,8,40,DRY,FULL,2025-09-27 00:09:00,2025-11-05 00:09:00,Y,Rule 07: full_empty phải là F hoặc E
181,MAYU0000181,1,1,40,DRY,FULL,2025-09-20 18:17:00,2025-10-01 18:17:00,Y,Rule 07: full_empty phải là F hoặc E
182,HLBU0000182,2,2,40,DRY,EMPTY,2026-01-24 11:52:00,2026-02-08 11:52:00,Y,Rule 07: full_empty phải là F hoặc E
183,CMAU0000183,3,7,40,DRY,EMPTY,2025-11-04 14:31:00,2025-11-26 14:31:00,Y,Rule 07: full_empty phải là F hoặc E
184,MSKU0000184,4,8,20,DRY,FULL,2026-01-16 05:11:00,2026-02-17 05:11:00,Y,Rule 07: full_empty phải là F hoặc E
185,ONEU0000185,5,7,40,DRY,FULL,2025-10-16 01:08:00,2025-11-11 01:08:00,Y,Rule 07: full_empty phải là F hoặc E
186,COSU0000186,6,1,20,REEFER,FULL,2025-10-09 17:54:00,2025-11-15 17:54:00,Y,Rule 07: full_empty phải là F hoặc E
187,EMCU0000187,7,6,40,DRY,FULL,2026-01-09 11:55:00,2026-02-14 11:55:00,Y,Rule 07: full_empty phải là F hoặc E
