container_id,container_no,shipping_line_id,yard_area_id,container_size,container_type,full_empty,gate_in_ts,gate_out_ts,hist
124,MSKU0000124,4,7,40,DRY,FULL,2025-11-08 10:12:00,2025-11-26 10:12:00,Y
125,ONEU0000125,5,5,20,DRY,FULL,2025-12-02 14:01:00,2026-01-10 14:01:00,Y
126,COSU0000126,6,3,20,DRY,FULL,2025-08-28 04:08:00,2025-09-17 04:08:00,Y
127,EMCU0000127,7,5,20,OPEN_TOP,FULL,2025-12-14 18:15:00,2026-01-28 18:15:00,Y
128,YMLU0000128,8,6,40,DRY,EMPTY,2025-09-16 06:56:00,2025-10-22 06:56:00,Y
129,OOLU0000129,9,4,40,DRY,FULL,2025-10-25 00:37:00,2025-11-30 00:37:00,Y
130,PILU0000130,10,6,20,REEFER,FULL,2025-09-22 00:00:00,2025-10-07 00:00:00,Y
131,MAYU0000131,11,2,40,DRY,FULL,2025-09-07 11:55:00,2025-10-07 11:55:00,Y
132,HLBU0000132,12,4,20,DRY,FULL,2025-11-19 05:55:00,2025-12-17 05:55:00,Y
133,CMAU0000133,1,6,40,REEFER,EMPTY,2025-12-01 12:01:00,2025-12-12 12:01:00,Y
134,MSKU0000134,2,5,40,DRY,FULL,2025-12-18 07:06:00,2025-12-29 07:06:00,Y
135,ONEU0000135,3,1,20,DRY,FULL,2025-08-16 15:34:00,2025-08-27 15:34:00,Y
136,COSU0000136,4,8,20,DRY,EMPTY,2025-12-27 02:23:00,2026-02-05 02:23:00,Y
137,EMCU0000137,5,2,20,DRY,EMPTY,2026-01-26 07:27:00,2026-02-17 07:27:00,Y
138,YMLU0000138,6,2,40,DRY,FULL,2025-10-12 07:58:00,2025-11-06 07:58:00,Y
139,OOLU0000139,7,8,40,REEFER,FULL,2026-01-19 02:17:00,2026-02-27 02:17:00,Y
140,PILU0000140,8,6,40,DRY,EMPTY,2026-01-20 10:28:00,2026-01-27 10:28:00,Y
141,MAYU0000141,9,5,40,REEFER,EMPTY,2026-01-07 08:22:00,2026-01-13 08:22:00,Y
142,HLBU0000142,10,4,20,DRY,FULL,2026-01-09 02:53:00,2026-02-11 02:53:00,Y
143,CMAU0000143,11,5,20,REEFER,FULL,2026-01-20 09:31:00,2026-03-03 09:31:00,Y
144,MSKU0000144,12,6,20,REEFER,EMPTY,2025-12-19 02:47:00,2026-01-19 02:47:00,Y
145,ONEU0000145,1,2,40,DRY,EMPTY,2025-11-04 03:09:00,2025-11-10 03:09:00,Y
146,COSU0000146,2,5,20,DRY,FULL,2025-12-24 17:44:00,2025-12-31 17:44:00,Y
147,EMCU0000147,3,8,20,DRY,EMPTY,2026-01-26 17:27:00,2026-02-02 17:27:00,Y
148,YMLU0000148,4,8,20,REEFER,EMPTY,2025-08-27 00:17:00,2025-08-31 00:17:00,Y
149,OOLU0000149,5,2,40,REEFER,FULL,2025-11-15 05:36:00,2025-11-24 05:36:00,Y
150,PILU0000150,6,2,40,DRY,FULL,2025-12-31 00:13:00,2026-01-28 00:13:00,Y
151,MAYU0000151,7,6,40,DRY,FULL,2025-10-31 14:54:00,2025-11-12 14:54:00,Y
152,HLBU0000152,8,3,20,REEFER,FULL,2025-12-29 13:58:00,2026-01-23 13:58:00,Y
153,CMAU0000153,9,8,40,DRY,FULL,2025-11-26 10:22:00,2025-11-27 10:22:00,Y
154,MSKU0000154,10,1,40,DRY,FULL,2025-11-29 07:50:00,2025-12-11 07:50:00,Y
155,ONEU0000155,11,6,40,DRY,FULL,2026-01-02 10:41:00,2026-02-04 10:41:00,Y
156,COSU0000156,12,5,40,OPEN_TOP,FULL,2025-11-04 03:53:00,2025-12-17 03:53:00,Y
157,EMCU0000157,1,5,40,FLAT_RACK,FULL,2026-01-16 09:14:00,2026-02-13 09:14:00,Y
158,YMLU0000158,2,4,20,REEFER,EMPTY,2025-12-14 07:36:00,2025-12-22 07:36:00,Y
159,OOLU0000159,3,7,40,DRY,FULL,2025-08-16 08:35:00,2025-09-14 08:35:00,Y
160,PILU0000160,4,1,40,DRY,FULL,2026-01-22 11:36:00,2026-03-05 11:36:00,Y
161,MAYU0000161,5,3,40,REEFER,FULL,2025-11-15 04:58:00,2025-12-23 04:58:00,Y
162,HLBU0000162,6,1,20,DRY,FULL,2025-11-06 02:37:00,2025-11-07 02:37:00,Y
163,CMAU0000163,7,5,40,REEFER,FULL,2025-12-30 16:20:00,2026-02-04 16:20:00,Y
164,MSKU0000164,8,6,20,DRY,FULL,2025-11-19 08:02:00,2025-12-17 08:02:00,Y
165,ONEU0000165,9,3,40,DRY,FULL,2026-01-06 16:11:00,2026-02-03 16:11:00,Y
166,COSU0000166,10,8,40,DRY,FULL,2025-11-01 12:58:00,2025-11-07 12:58:00,Y
167,EMCU0000167,11,6,40,DRY,FULL,2025-12-04 00:58:00,2026-01-14 00:58:00,Y
168,YMLU0000168,12,8,40,DRY,EMPTY,2025-08-24 10:05:00,2025-09-11 10:05:00,Y
169,OOLU0000169,1,4,40,DRY,FULL,2025-12-11 03:44:00,2026-01-20 03:44:00,Y
170,PILU0000170,2,7,20,DRY,EMPTY,2025-10-01 19:34:00,2025-10-03 19:34:00,Y
171,MAYU0000171,3,1,20,DRY,FULL,2025-08-23 05:58:00,2025-09-04 05:58:00,Y
172,HLBU0000172,4,2,40,DRY,FULL,2026-01-05 15:03:00,2026-01-25 15:03:00,Y
173,CMAU0000173,5,6,20,DRY,FULL,2025-09-18 03:27:00,2025-10-12 03:27:00,Y
174,MSKU0000174,6,6,20,REEFER,FULL,2025-12-19 18:36:00,2026-01-12 18:36:00,Y
175,ONEU0000175,7,6,20,DRY,FULL,2025-09-01 13:00:00,2025-09-20 13:00:00,Y
176,COSU0000176,8,2,40,REEFER,EMPTY,2025-09-11 13:34:00,2025-10-12 13:34:00,Y
177,EMCU0000177,9,6,40,OPEN_TOP,FULL,2025-08-18 19:14:00,2025-09-20 19:14:00,Y
178,YMLU0000178,10,3,40,REEFER,FULL,2025-09-18 18:49:00,2025-10-23 18:49:00,Y
179,OOLU0000179,11,7,40,OPEN_TOP,FULL,2025-08-15 09:50:00,2025-08-16 09:50:00,Y
180,PILU0000180,12,8,40,DRY,FULL,2025-09-27 00:09:00,2025-11-05 00:09:00,Y
181,MAYU0000181,1,1,40,DRY,FULL,2025-09-20 18:17:00,2025-10-01 18:17:00,Y
182,HLBU0000182,2,2,40,DRY,EMPTY,2026-01-24 11:52:00,2026-02-08 11:52:00,Y
183,CMAU0000183,3,7,40,DRY,EMPTY,2025-11-04 14:31:00,2025-11-26 14:31:00,Y
184,MSKU0000184,4,8,20,DRY,FULL,2026-01-16 05:11:00,2026-02-17 05:11:00,Y
185,ONEU0000185,5,7,40,DRY,FULL,2025-10-16 01:08:00,2025-11-11 01:08:00,Y
186,COSU0000186,6,1,20,REEFER,FULL,2025-10-09 17:54:00,2025-11-15 17:54:00,Y
187,EMCU0000187,7,6,40,DRY,FULL,2026-01-09 11:55:00,2026-02-14 11:55:00,Y
188,YMLU0000188,8,7,40,TANK,FULL,2025-09-04 04:40:00,2025-09-05 04:40:00,Y
189,OOLU0000189,9,2,40,REEFER,EMPTY,2025-10-24 16:54:00,2025-10-25 16:54:00,Y
190,PILU0000190,10,4,40,DRY,EMPTY,2025-12-24 14:39:00,2025-12-27 14:39:00,Y
191,MAYU0000191,11,3,40,DRY,FULL,2026-01-11 14:10:00,2026-01-25 14:10:00,Y
192,HLBU0000192,12,8,40,DRY,FULL,2025-10-17 16:30:00,2025-10-31 16:30:00,Y
193,CMAU0000193,1,6,20,DRY,FULL,2025-08-23 02:18:00,2025-10-04 02:18:00,Y
194,MSKU0000194,2,7,40,DRY,FULL,2025-08-14 18:24:00,2025-09-20 18:24:00,Y
195,ONEU0000195,3,6,20,OPEN_TOP,EMPTY,2025-12-20 12:29:00,2026-01-27 12:29:00,Y
196,COSU0000196,4,6,40,FLAT_RACK,FULL,2025-09-05 05:04:00,2025-10-08 05:04:00,Y
197,EMCU0000197,5,1,40,DRY,FULL,2025-09-06 18:40:00,2025-09-16 18:40:00,Y
198,YMLU0000198,6,2,40,REEFER,EMPTY,2025-09-09 07:58:00,2025-10-04 07:58:00,Y
199,OOLU0000199,7,3,40,DRY,FULL,2025-08-17 12:14:00,2025-08-21 12:14:00,Y
200,PILU0000200,8,7,40,REEFER,FULL,2025-11-10 19:25:00,2025-12-03 19:25:00,Y
201,ETLX9000001,1,2,40,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,X
202,ETLX9000002,1,2,99,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,Y
203,ETLX9000003,1,2,40,DRY,FULL,2025-09-06 00:12:00,2025-09-06 00:12:00,Y
204,ETLX9000004,1,999999,40,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,Y
